avg_press    volume
nan 33022.609
nan 33644.05099999999
nan 34273.240000000005
9475.197224974823 34910.22499999999
7537.944539551862 35555.054
6078.281484748993 36207.77399999999
4803.7791993215005 36868.435
3838.380698976737 37537.08400000002
3016.4024157118406 38213.768
2256.6726724070636 38898.536
1655.0488057703803 39591.43699999999
1178.5564926270192 40292.517
853.8197115899944 41001.825
419.4756121740764 41719.40899999999
935.4406402115775 42445.316999999995
770.7841738905513 43179.596000000005
479.5716848085172 43922.29599999999
345.9174363679054 44673.464
nan 45433.14699999999
249.08596359585727 46201.393999999986
-90.92407898755413 46978.253999999986
-325.04030647305524 47763.77300000001
-388.12955901374755 48558.0
-817.4676866528675 49360.983
-718.6668307594337 50172.77000000001
-926.9465318811392 50993.40899999999
-1196.015519462543 51822.94700000001
-1281.5710761026257 52661.433999999994
-1382.7098079492598 53508.91599999997
-1352.5730992848314 54365.44299999998
-1389.118965879047 55231.060999999994
-1277.7496013270404 56105.81900000001
-1249.454892985131 56989.76500000001
-1240.4296063470345 57882.94700000002
-1135.861039485725 58785.41299999997
-1053.6837472487746 59697.20999999998
-986.6216753202675 60618.38800000001
-949.9008000995067 61548.99399999998
-846.3613726338444 62489.07499999998
-742.1215632786983 63438.68000000003
-721.1050384235423 64397.858
-706.4714953347268 65366.65500000001
-604.5802211403841 66345.12
-618.0496954926093 67333.30099999999
-531.2531966221259 68331.24600000001
-568.6945716844573 69339.00199999998
-362.22997369490685 70356.61899999998
-480.3502777104374 71384.14300000001
-320.78157806851334 72421.62399999998
-289.42656812810515 73469.108
-367.51230639346176 74526.64399999999
-234.67523997381406 75594.28099999999
-165.32864911458685 76672.06499999997
-173.99453113041326 77760.045
-176.6790556334139 78858.26800000001
-42.25711934104356 79966.784
-51.68145269951221 81085.63999999998
-19.208396659310292 82214.883
23.20049434431692 83354.56299999998
62.962554078138346 84504.72600000001
21.552402691433784 85665.42099999999
0.8508053086435059 86836.696
-30.01716006846664 88018.599
-59.79692303382552 89211.178
-89.3679154842291 90414.48099999999
-104.69567549299535 91628.55600000003
-130.92857244018504 92853.44999999998
-118.760676860856 94089.21300000002
-126.14176558641441 95335.89100000005
-135.22460423244337 96593.534
-128.58213932017776 97862.18800000001
-113.03790868685172 99141.902
-139.3256376290033 100432.71999999999
-113.33587264541629 101734.69999999998
nan 103047.88000000002
-118.18633022231585 104372.32000000004
nan 105708.05000000002
-114.8252491186741 107055.12999999998
-107.27272693745343 108413.61000000006
-115.58444672347053 109783.53000000001
-108.54610009916321 111164.93999999997
-124.2748485111902 112557.89999999997
-107.94735204736871 113962.43999999997
-120.30721511811153 115378.62000000002
nan nan
-132.1655726755715 118246.07000000005
-139.50830150552153 119697.43999999997
-143.60785570691522 121160.63999999997
-130.70537001236343 122635.71999999999
-140.58659644671826 124122.71999999999
-151.28546485590434 125621.68999999997
-153.66615445803453 127132.67999999995
-212.32385595330376 130190.91999999995
-238.40341280140748 131738.26
-252.94286861798943 133297.81000000003
-263.1232102880803 134869.62000000005
-238.94983175664325 136453.74
-228.2388151547155 138050.22
-258.18493988416543 139659.10000000003
-284.16549433007776 141280.42999999996
-306.3219966061705 142914.26
-347.99902651813494 144560.64000000007
-418.6867736245667 146219.60999999993
-540.1853893032301 147891.23
-727.1203312149673 149575.54
-959.2508842746728 151272.59
-1224.9295627303625 152982.43
-1519.1653348766365 154705.10000000003
-1829.4918928663144 156440.66
-2150.3155864994933 158189.14999999997
-2466.0874702039278 159950.62000000005
-2786.9626518053774 161725.12000000005
-3120.0525879657603 163512.68999999997
nan 165313.39000000004
-3818.386093126888 167127.25999999995
-4169.179261606244 168954.35000000003
-4528.673523086606 170794.71
nan 172648.38
-5253.267435599193 174515.41999999998
-5612.783557678751 176395.87000000005
-5973.251048136958 178289.77999999994
-6319.96210213998 180197.20000000004
-6687.688813758811 182118.16999999995
-7037.11153429003 184052.74000000005
-7381.007482565458 186000.97000000006
-7740.440944687815 187962.89999999997
-8075.5147370845925 189938.58000000005
nan 191928.05
-8759.422501359517 193931.37000000005
nan 195948.58000000002
-9438.170474422188 197979.72000000003
-9778.125617938065 200024.85999999993
-10116.873568693354 202084.02999999994
-10454.419333899797 204157.29
-10797.659326032224 206244.66999999995
-11139.792691213494 208346.24000000005
-11476.210812688823 210462.04
-11816.951784994966 212592.1099999999
-12157.196533106748 214736.5
nan 216895.27
-12839.315750755288 219068.46
-13175.719773288018 221256.1099999999
