avg_press    volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 40107.047999999995
nan 40814.179
nan 41529.57400000001
1165862.6106438215 42253.28000000001
1060701.8106117824 42985.34499999999
nan 43725.816999999995
882447.7251900806 44474.743999999984
805289.6509957201 45232.17500000001
733797.5528285499 45998.155999999995
666494.717312437 46772.737
608513.0971097684 47555.96499999998
554014.0530664653 48347.888999999996
507889.8772066969 49148.555000000015
461111.41935674724 49958.013
418591.37748111784 50776.31000000001
nan nan
347301.8261920946 52439.61300000001
315368.44650302123 53284.71600000001
284996.98316087615 54138.84999999999
259192.8390294562 55002.062999999995
236154.10590760323 55874.40300000002
214967.06549848942 56755.917999999976
193788.7195556395 57646.657
176238.13632930513 58546.66599999997
159119.6195669688 59455.994999999995
143903.36429128904 60374.691000000006
129769.68697885195 61302.80299999998
118394.63634063445 62240.376999999986
107712.4705274421 63187.462999999996
96195.94558119336 64144.108
86595.58948288015 65110.35999999999
79112.43534138973 66086.26800000001
70708.72939274924 67071.87800000001
63682.29635498489 68067.24
57141.97951900806 69072.40099999998
52064.91284138973 70087.409
46122.092697381675 71112.31200000002
41542.84475944109 72147.159
37116.840757301106 73191.99600000001
33205.14063003525 74246.87300000002
29535.69180299597 75311.838
26261.2589010574 76386.93700000002
24176.8002740433 77472.21900000001
21582.032018882175 78567.733
19094.307045191337 79673.526
16791.99079091138 80789.64599999998
14910.798049974823 81916.142
12990.383256923464 83053.06000000003
11319.222873350956 84200.44999999998
10483.973812386706 85358.35899999997
9074.409095808158 86526.83499999999
7999.277279607251 87705.92599999999
6997.990922041792 88895.68100000003
6050.119188972809 90096.14699999997
5266.886010788016 91307.37199999999
4385.222321475327 92529.40400000002
3781.87719658862 93762.291
3218.6362320745216 95006.08199999997
2715.7802148539777 96260.823
2312.5162017119837 97526.564
1966.6296182678752 98803.35199999997
1676.7111023980362 100091.23999999999
1435.2484217044312 101390.26000000001
1265.944499934542 102700.48
1144.5575593885949 104021.93999999997
1019.167272510209 105354.67999999995
897.9121862218026 106698.76000000001
774.7065310440622 108054.21999999999
641.3935179537261 109421.12000000002
519.6832361574269 110799.48999999999
411.43161638500817 112189.38999999994
325.4479616508208 113590.87000000002
243.18197446306144 115003.95999999998
182.62140158015134 116428.73
152.16542261587247 117865.21999999999
114.7864267070209 119313.48
114.33468864575566 120773.55000000002
123.91937589664906 122245.48
161.97544014472268 123729.33000000005
339.819294126996 125225.13999999994
581.9335405442849 126732.94999999998
616.199723727996 128252.81000000003
639.8247065936355 129784.79000000002
654.1593467093404 131328.90999999997
667.2611588103852 132885.23
685.5969999213621 134453.80000000002
711.0879082675352 136034.65999999997
736.0212017095922 137627.87000000005
758.787334971425 139233.46
783.2922043140735 140851.5
800.0414534395267 142482.02
810.8464065974321 144125.08000000002
823.9834809768378 147449.0
839.4270882817219 149129.94999999998
862.7944973766365 150823.62999999995
336.68214619399544 152530.09
-705.488438007301 154249.37000000005
-1782.8437579179254 155981.52
-2849.317239325277 157726.59
-3897.445584038268 159484.62000000005
-4925.473071437564 161255.66999999998
-5929.232419171702 163039.79
-6909.385430513595 164837.00999999995
-7870.475630866063 166647.39999999997
-8807.133066087614 168470.99000000005
-9725.913690093152 170307.84
-10622.675736278952 172157.99000000005
-11497.32446777442 174021.49000000005
-12356.265585850957 175898.39000000007
-13192.536875125881 177788.74000000005
-14008.835665785498 179692.58000000005
-14807.594242573012 181609.97000000006
-15590.41045468278 183540.95
-16353.344878147029 185485.56000000003
-17099.137995468278 187443.87000000005
-17828.03493932528 189415.91
-18546.32965684793 191401.72999999998
-19247.453375755285 193401.37999999995
-19934.84130425478 195414.91999999995
-20608.733730866064 197442.37999999995
-21268.40527781974 199483.81000000003
-21916.416108006044 201539.27000000002
-22554.006495971804 203608.8
-23173.958938695872 205692.45
-23786.721560926482 207790.27000000002
-24387.72779582075 209902.29999999993
-24973.802944989933 212028.58999999997
-25552.8521163142 214169.20000000007
-26118.379989677745 216324.16000000003
-26674.42055224068 218493.52999999988
-27216.80672948137 220677.3599999999
-27749.084219914403 222875.68999999997
-28275.86566251259 225088.56999999995
-28790.449395140986 227316.04999999993
-29297.504902693858 229558.18000000005
-29797.686530589126 231815.00999999995
-30290.370704431014 234086.56999999995
-30777.67216565962 236372.93000000005
-31255.842373111784 238674.12999999995
-31730.645325151057 240990.21
-32196.812510951662 243321.22999999998
-32643.630287260825 245667.22999999998
-33099.972482250756 248028.27000000002
-33534.47357414401 250404.37999999995
-33972.85576837866 252795.62000000005
-34398.01689539275 255202.04
-34820.56258056394 257623.66999999995
-35232.36844133938 260060.58000000005
-35643.65355362537 262512.81
-36045.498395644514 264980.41000000003
-36443.11196840383 267463.42
-36836.09241163143 269961.8900000001
-37220.51456306647 272475.87999999995
-37598.423634692845 275005.43000000005
-37972.45478512084 277550.58
-38338.69299848943 280111.3900000001
-38698.58682049346 282687.89999999997
-39051.99697746727 285280.16000000003
-39401.32157263343 287888.21999999986
-39743.704578927485 290512.12999999995
-40079.82145392749 293151.93000000005
-40409.80086983887 295807.68000000005
-40734.768523162136 298479.41000000003
-41055.515637210476 301167.19000000006
-41367.547280337356 303871.05999999994
-41677.26670543806 306591.04999999993
-41979.00437160121 309327.2400000001
-42277.2149652568 312079.65
-42569.1801336858 314848.33999999997
-42856.870091263845 317633.36
-43139.5897887714 320434.7599999999
-43417.00018202417 323252.58
-43688.760289652564 326086.87000000005
-43956.596210850956 328937.68
-44219.16194448641 331805.04999999993
-44476.968202291035 334689.04
-44730.57886266365 337589.70000000007
-44979.694021399795 340507.05999999994
-45224.59780903827 343441.19000000006
-45465.03524748238 346392.12000000005
-45700.27029695368 349359.91000000003
-45931.56339325277 352344.5999999999
-46159.155361153076 355346.2400000001
-46381.55217635951 358364.87999999995
-46602.263418051356 361400.57
-46814.603381923465 364453.35
-47024.12969700403 367523.28000000014
-47233.13699723061 370610.4
nan 373714.75
-47633.45392824774 376836.4
-47828.66338670695 379975.37999999995
nan 383131.7400000001
