avg_press    volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 33317.519
nan 33942.64399999999
nan nan
nan nan
nan 35864.834
nan 36521.33000000001
nan nan
nan 37858.25800000001
65594.37714942095 38538.786
nan 39227.42099999999
49897.98209516616 39924.211
nan 40629.20300000001
39538.68039904331 41342.446
34257.61779670191 42063.988000000005
29114.2297539514 42793.87699999999
26031.66482502518 43532.161
22950.08440609265 44278.886999999995
19384.390154330315 45034.104000000014
17051.501986027193 45797.85899999998
14465.189835850955 46570.20200000001
12164.518066402317 47351.179
10413.87541930774 48140.83900000001
9286.989701283988 48939.22999999999
7383.419129531721 49746.40000000001
6739.528055292637 50562.395999999986
5423.385037147532 51387.267
4529.921458333333 52221.060999999994
3647.28355163142 53063.82499999998
3002.774085722558 53915.60899999998
2488.2373431188316 54776.45900000003
1920.933518814363 55646.424
1652.487728892082 56525.550999999985
1307.9887966334086 57413.89000000001
1043.7948211404364 58311.48699999999
750.8065266905173 59218.39100000003
539.4828860866868 60134.648999999976
nan nan
313.47572319377394 61995.42299999998
222.68389304332388 62940.03399999999
91.72434809102077 63894.19200000002
-45.12213481120972 64857.94400000001
-67.0869483122378 65831.33900000002
-216.80209407820217 66814.42500000002
-196.62427987468402 67807.25
-230.51675618371928 68809.86199999998
-252.65699592161508 69822.30799999999
-327.95049336023453 70844.637
-263.0455281821218 71876.897
-275.81471493827115 72919.13599999998
-321.0877357048951 73971.40099999998
-219.07260074348727 75033.741
-325.6699802402405 76106.20400000001
-349.1988553893703 77188.83700000003
-335.3698984447654 78281.68999999997
-354.131065147256 79384.80899999998
-282.5305581520446 80498.24299999999
-286.7153068578545 81622.04000000001
-295.50583328114703 82756.24699999999
-330.1631953860449 83900.91299999997
-327.1144635135876 85056.08599999998
-304.53627261951283 86221.814
-278.31907804830394 87398.14400000001
-288.2610170790286 88585.12600000002
-266.2919221209051 89782.80600000003
-273.53509471953925 90991.23199999999
-264.7073810766428 92210.45399999998
-266.5426308276829 93440.51800000001
-263.22213290860265 94681.473
-254.7461852815516 95933.36700000003
-239.39445474278563 97196.24799999998
-249.3618773154985 98470.16299999997
-234.80811543306072 99755.16100000001
-232.05339887574158 101051.29000000002
-221.8746783757674 102358.6
-215.0029392848754 103677.12999999998
-202.9433144265628 105006.93999999997
-196.7333069012915 106348.07000000005
-187.89813240687627 107700.58000000002
-188.1494914052803 109064.5
-170.11097836764353 110439.88999999996
-165.71732405208914 111826.79000000002
-159.85589031033467 113225.25
-156.9737798290827 114635.33000000002
-146.5672948488233 116057.07000000005
-150.95408441713127 117490.50999999998
-138.20971797628016 118935.69999999995
-125.20746689085148 120392.69999999995
-119.82386140941222 121861.55000000005
-109.60046552723793 123342.30000000002
-113.60697038982427 124835.0
-107.4334352981099 126339.68999999997
-108.96432555814955 127856.41999999995
-102.7611574264368 129385.25
-97.29129043737927 130926.20999999998
-92.28460788552687 132479.35999999993
-93.56864751111202 134044.74
-90.41464923114376 135622.40999999997
-90.43900196147011 137212.40999999997
-99.7568910101684 138814.79
-89.97305027751158 140429.59000000003
-93.58583314590791 142056.87000000005
-94.9733039821991 143696.66999999998
-96.2213785292059 145349.04
-94.11140498506558 147014.03
-90.07861242756815 148691.68999999997
-95.27781540450786 150382.06000000003
-95.60300169206809 152085.18999999997
-90.01095868746746 153801.14000000007
-97.53471345967388 155529.93999999997
-96.67334124627602 157271.66
-96.89912969212372 159026.32
-94.70317429775909 160793.99
-97.56917695499622 162574.71
-99.99591967314173 164368.52999999997
-98.76026312079848 166175.49000000005
-103.08293541327112 167995.64999999997
-95.01476270460792 169829.05
-107.2825030489956 171675.75
-111.35150212562378 173535.77999999997
-103.80928748713542 175409.20000000004
-131.53249848164444 179196.39000000007
-139.59075360687999 181110.25
-155.7740662311461 183037.70000000004
-178.0571042946068 184978.76999999996
-202.84375315986304 186933.51999999996
-185.34828733300844 188901.99000000002
-220.09101467856297 190884.23000000004
-264.4027321878427 192880.29
-350.13806131532357 194890.22000000006
-351.83791368757153 196914.06000000003
-390.67595911336207 198951.8599999999
-386.673330404034 201003.68000000002
-507.2437184317935 203069.54999999996
-620.0808051655256 205149.52999999994
-775.4931432586533 207243.66000000003
-928.0822465890496 209352.0
-1106.3742737268722 211474.58999999997
-1293.6563240440528 213611.48000000004
-1494.8358528911265 215762.71
-1713.85028533669 217928.33999999997
-1924.8110612838266 220108.41000000003
-2135.232044443046 222302.9700000001
-2353.6591430962867 224512.06999999998
-2610.8629779232224 226735.75999999998
-2850.5620486469475 228974.08000000005
-3103.3754097293895 231227.08999999997
-3361.1246078917557 233494.81999999998
-3627.272465575834 235777.33999999994
-3894.996589528005 238074.68000000002
-4163.096919572058 240386.8999999999
-4431.931459005664 242714.04
-4701.101014977973 245056.1499999999
-4967.093299760855 247413.26999999996
-5234.077795028319 249785.4700000001
-5499.440780390183 252172.7799999999
-5763.3455068093135 254575.25
-6024.0800618124595 256992.93999999997
-6285.812701724354 259425.87999999992
-6537.240311818754 261874.12999999992
-6791.362463159219 264337.73
-7040.441113656388 266816.7400000001
-7293.155655670233 269311.20000000007
-7542.917377256135 271821.14999999997
-7793.187636941472 274346.6600000001
-8043.405293908118 276887.75
-8294.749055519194 279444.4900000001
-8551.015592007552 282016.92
-8809.370535091251 284605.08999999997
-9066.069068558842 287209.04999999993
-9327.78300857143 289828.83999999997
-9589.741284365558 292464.52
-9845.63182301108 295116.12000000005
-10108.653035863545 297783.71
-10367.687853713496 300467.32
-10623.562593958013 303167.0
-10882.04396312146 305882.80999999994
-11141.148242195368 308614.79
-11393.838301863041 311362.9900000001
-11645.598585399623 314127.45000000007
-11895.07740025173 316908.23
-12144.685995720041 319705.37000000005
-12392.714456193353 322518.92
-12632.363195619335 325348.94000000006
-12875.894756419939 328195.45000000007
-13113.23049886707 331058.53000000014
-13350.613993957702 333938.20000000007
-13583.662858635447 336834.53000000014
-13816.15649244713 339747.54999999993
-14045.271631671703 342677.33
-14269.811531344412 345623.89
-14494.834821878147 348587.29999999993
-14714.058351460222 351567.5999999999
-14933.822263343403 354564.8399999999
-15149.157932024167 357579.07
-15363.156396903323 360610.33
-15570.658268630415 363658.67
-15779.768669813695 366724.14
-15984.555204053375 369806.79999999993
-16183.800458333331 372906.68
-16383.250088872104 376023.83
