avg_press    volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 30051.22399999999
nan nan
nan 31226.116999999995
nan 31824.875999999997
nan nan
1321610.0677728045 33045.258000000016
nan 33666.97800000001
nan nan
nan nan
896831.2855172413 35578.827
813063.9933182276 36231.83299999999
740566.3956243705 36892.78000000001
nan nan
607806.1175 38238.692
553192.661784995 38923.75300000001
498142.19611027185 39616.947
452952.0570468278 40318.32299999999
409726.7534529204 41027.928
371869.23684164154 41745.810999999994
nan nan
303076.3527253273 43206.60100000001
276212.16324647533 43949.60499999999
248338.14016993958 44701.07799999999
226126.59286002014 45461.06900000001
203659.44720166162 46229.625
184786.57384944614 47006.795999999995
166644.62346299094 47792.626999999986
151368.94626132929 48587.16799999998
135775.97229607252 49390.46699999999
124669.46432527693 50202.57200000001
112524.70282477341 51023.53000000001
102020.35856319236 51853.388999999996
91559.31266931018 52692.199000000015
83985.44253789022 53540.00600000002
75788.98493718529 54396.858
68484.24498627895 55262.804
61787.45586593656 56137.892
nan nan
49854.280893378644 57915.683999999994
45205.54520468278 58818.48399999997
40582.55081243707 59730.61800000001
36316.971434164145 60652.133999999984
32799.496596676734 61583.07900000003
29764.217744335347 62523.501999999986
27531.837465760324 63473.451
23306.251686933534 64432.973000000005
21390.41843328298 65402.116000000016
16635.850483131922 67369.461
13001.207069108761 68367.757
9337.520026145517 69375.86699999998
5821.5872671576035 70393.83900000002
2482.7032430010067 71421.71999999999
-697.4712499185435 72459.559
-3741.443833006042 73507.40300000002
-6641.275084642497 74565.30099999999
-9404.572805576534 75633.30099999999
-12035.844219284994 76711.44999999998
-14548.388398539777 77799.797
-16928.99669750755 78898.38999999998
nan 80007.276
-21443.91647520141 81126.50300000001
-23579.24009592145 82256.12100000001
-25665.49332162638 83396.17500000002
-27655.72528738671 84546.716
-29591.698456570997 85707.79000000001
-31478.320854103727 86879.446
-33275.56701283988 88061.73099999999
-35038.46548074018 89254.69399999997
-36743.459435548844 90458.38200000001
-38393.24911216013 91672.84400000003
-39997.27449219536 92898.12800000001
-41547.27625062941 94134.28099999997
-43057.6556651561 95381.35199999997
-44528.213078927496 96639.38800000002
-45954.29799181772 97908.439
-47337.35108459214 99188.55000000002
-48693.75510498489 100479.77
-50013.318458081565 101782.15
-51265.88015785498 103095.73
-52521.312164274925 104420.57000000004
-53723.686738670694 105756.70999999998
-54880.41447771903 107104.19999999998
-56014.72706256294 108463.09000000003
-57126.50236278952 109833.41999999998
-58215.71961064955 111215.25
-59286.2835501007 112608.61000000006
-60329.81834554381 114013.57000000005
-61356.495158484395 115430.16999999998
-62363.900862789524 116858.44999999998
-63346.90265684794 118298.45999999998
-64308.573694486404 119750.26000000001
-65245.35232275932 121213.87999999995
-66164.347229859 122689.38999999994
-67063.3050649547 124176.81000000003
-67931.51965923967 125676.21999999999
-68781.78321210977 127187.63999999994
-69617.21069410875 128711.12999999995
-70425.17265458207 130246.73999999999
-71216.50912273413 131794.52
-71984.87221009567 133354.51
-72741.88547494965 134926.76
-73475.69630022657 136511.32000000004
-74191.37308131924 138108.24
-74887.98908723565 139717.57000000004
-75571.30224622355 141339.34000000003
-76235.81953914903 142973.62000000005
-76878.47994133938 144620.44999999998
-77512.37744133938 146279.87999999995
-78122.19880513595 147951.94999999998
-78725.374469285 149636.72
-79305.56431029708 151334.23
-79869.52464564452 153044.52
-80418.82086505539 154767.66
-80964.69995166162 156503.68
-81489.65811341893 158252.62999999995
-81998.56756684289 160014.57
-82493.71188406345 161789.52999999997
-82974.25596009566 163577.58000000002
-83444.47981696879 165378.75
-83892.57446638972 167193.09
-84333.09005450655 169020.64999999997
nan nan
-85174.9934305136 172715.64000000007
nan nan
nan nan
-86318.84667824773 178358.47000000006
nan nan
nan nan
nan nan
